english	translation	category	sub_category	source
Milk	ぎゅうにゅうをしぼる	actions	object	Dairy cow
Steal-cowbell	ぎゅうのベルをぬすむ	actions	object	Dairy cow
Dismantle	ばらばらにする	actions	object	Young tree
Set-trap	わなをしかける	actions	object	Young tree
Release	はなす	actions	object	Gnome on a rack
Level	レベルをあげる	actions	object	Kelda Stout
Control	あやつる	actions	object	Dwarven machinery
Return	もどってくる	actions	object	Train cart
Chip	けずりおとす	actions	object	Dense runestone
Hack	きりさく	actions	object	Light Jungle
Quick-Pay(100)	はやく１００をはらう	actions	object	Hardwood Grove Doors
Refuel	ねんりょうをたす	actions	object	Stove
Retrieve	もどす	actions	object	Bars
Pedal	ペダルをふむ	actions	object	Pedals
Put-ore-on	こうぶつをのせる	actions	object	Conveyor belt
Fill-bucket	バケツにみずをいれる	actions	object	Sink
Take-seed	たねをもってくる	actions	object	Roses
Attach	つける	actions	object	Ornate combat dummy
Swap	とりかえる	actions	object	Ornate combat dummy
Take-Coffin	ひつぎをもってくる	actions	object	Grave
Make	つくる	actions	object	Bed
Net	あみをつかう	actions	object	Fishing spot
Ardougne	アルドゥーンへいく	actions	object	Lever
Edgeville	エッジビルへいく	actions	object	Lever
Swap-options	オプションをきりかえる	actions	object	Lever
Talk to	はなしかける	actions	object	Tree
Exchange	こうかんする	actions	object	Grand Exchange booth
Lure	さそう	actions	object	Ominous Fishing Spot
Bait	えさをつける	actions	object	Ominous Fishing Spot
Fish-In	みずそうのなかでつる	actions	object	Aquarium
Count	かぞえる	actions	object	Pressure Barrel
Swim	およぐ	actions	object	River
Look-up	うえをみる	actions	object	Trellis
Spectate	けんしょうする	actions	object	Rat wall
Deposit-box	こづつみをあずける	actions	object	Bank booth
Grab	つかむ	actions	object	Bones
Remove-coal	すみをおろす	actions	object	Coal Truck
Take-sigil	しゅごをもってくる	actions	object	Pedestal
Empty-Out	からにする	actions	object	Cannon
Fire!	うつ	actions	object	Cannon
Loot	うばう	actions	object	Crate
Plunder	あたらしいむねをぶんどる	actions	object	Closed chest
Ransack	たるをぶんどる	actions	object	Barrel
Count-plunder	ぶんどったものをかぞえる	actions	object	Plunder Storage
Store-plunder	ぶんどったものをしまう	actions	object	Plunder Storage
Take-powder	こなをとる	actions	object	Powder Barrel
Waterproof	ぼうずいこうしする	actions	object	Ship hull
Balance	バランスをとる	actions	object	Narrow wall
Teeth-grip	しがかみする	actions	object	Zip line
Drain	みずをぬく	actions	object	Barrel
Churn	かくはんする	actions	object	Dairy churn
Zanaris	ザナリスへいく	actions	object	Fairy ring
Configure	ていぎする	actions	object	Fairy ring
Last-destination (AIP)	さいごのもくてきち（AIP）へいく	actions	object	Fairy ring
Escape	にげる	actions	object	Cave entrance
Examine	しらべる	actions	object	Healing certificate
Shape-Canoe	カヌーをけずる	actions	object	Canoe Station
Float Log	ながおをうかべる	actions	object	Canoe Station
Float Canoe	カヌーをうかべる	actions	object	Canoe Station
Paddle Log	ながおをこぐ	actions	object	Canoe Station
Paddle Canoe	カヌーをこぐ	actions	object	Canoe Station
Look-inside	なかをのぞく	actions	object	Mole hill
Buy-food	たべものをかう	actions	object	Chest
Buy-items	どうぐをかう	actions	object	Chest
Quick-escape	すぐにげる	actions	object	Door
Drink-from	のむ	actions	object	Fountain
Pick-Fruit	くだものをつむ	actions	object	Sq'irk tree
Stand-on	のる	actions	object	Balance beam
Get-down	おりる	actions	object	Balance beam
Change-clothes	ふくをかえる	actions	object	Shoe box
Preen	みだしなみをなおす	actions	object	Shaving stand
Haircut	かみをきる	actions	object	Shaving stand
Shave	ひげをそる	actions	object	Shaving stand
Pray	いのる	actions	object	Altar
Re-light	ひをつける	actions	object	Incense burner
Build-in	たてる	actions	object	Cage
Force	おしあける	actions	object	Door
Activate	はじめる	actions	object	Treasure Hunt Fairy House
Set-up	セットアップする	actions	object	Attack stone
Hoop	ふープをなげる	actions	object	Stick
Throw-at	ぶつける	actions	object	Dartboard
Shoot-at	いうをはなつ	actions	object	Archery target
Karamja	カラムジャへいく	actions	object	Amulet of Glory
Draynor Village	ドレイナーのむらへいく	actions	object	Amulet of Glory
Al Kharid	アルカリッドへいく	actions	object	Amulet of Glory
Take-kettle	やかんをとる	actions	object	Firepit with hook
Sleep-in	ねる	actions	object	Pet blanket
Last-destination (AIS)	さいごのもくてきち（AIS）へいく	actions	object	Fairy ring
Last-destination (AIR)	さいごのもくてきち（AIR）へいく	actions	object	Fairy ring
Last-destination (AIQ)	さいごのもくてきち（AIQ）へいく	actions	object	Fairy ring
Direct-portal	ぽーたるをあやつる	actions	object	Scrying pool
Scry	ぎまんはじんする	actions	object	Scrying pool
Challenge-mode	ちゃれんじもーどをはじめる	actions	object	Lever
Evade-event	さけける	actions	object	Path
Continue-trek	つづける	actions	object	Path
Swing-from	ふりこのようにゆれる	actions	object	Swamp tree branch
Cut-vine	つるをきる	actions	object	Swamp tree
Escape-event	にげだす	actions	object	Boat
Return-to-Burgh	ぶるぐへもどる	actions	object	Path
Remove-Pot	なべをとりのぞく	actions	object	Pot-boiler
Remove-Bone	ほねをとりのぞく	actions	object	Pot-boiler
Jump-down	おりる	actions	object	Rocks
Use-Driftwood	ながれぎをつかう	actions	object	Embers
Climb-through (normal)	ぬけぬける	actions	object	Broken bars
Climb-through (private)	ぬけぬける	actions	object	Broken bars
Peek (normal)	そっとのぞく	actions	object	Broken bars
Eat	たべる	actions	object	Food Pile
Leap	とびこえる	actions	object	Gap
Teleport to Destination	もくてきちへテレポートする	actions	object	Obelisk
Set Destination	もくてきちをせっていする	actions	object	Obelisk
Hurdle	とびこえる	actions	object	Ledge
Jump-off	とびおりる	actions	object	Edge
Vault	とびこえる	actions	object	Pole-vault
Jump-in	とびこむ	actions	object	Pile of fish
Take-pickaxe	つるはしをとる	actions	object	Rocks
Use-Lift	いんかをつかう	actions	object	Platform
Take-Beam	はりをとる	actions	object	Crate
Take-Pulley-Beam	ていしゃをとる	actions	object	Crate
Take-Rope	なわをとる	actions	object	Crate
Swing Across	ふりこのようにわたる	actions	object	Monkeybars
Home	ホームへいく	actions	object	Portal
Build mode	ビルドもーど	actions	object	Portal
Friend's house	ゆうじんのいえへいく	actions	object	Portal
Swing	ゆれる	actions	object	Rope
Sit-On	すわる	actions	object	Piano stool
Pick Nuts	くるみをつむ	actions	object	Tchiki Monkey Nut Bush
Pick Banana	バナナをつむ	actions	object	Strange banana tree
Throw	なげる	actions	object	Shot
Unblock	ふさいだみちをあける	actions	object	Tunnel
Take-Rum	ラムをとる	actions	object	Conveyor Belt
Pump	ポンプをすえる	actions	object	Steam Pump
Vent	あなをあける	actions	object	Steam Pump
Take-Log	たきぎをとる	actions	object	Log Store
Take-Tool	どうぐをとる	actions	object	Workbench
Cut-Down	きをきる	actions	object	Jungle tree
Pay-toll(2-Ecto)	りょうきん（2エクト）をしはらう	actions	object	Energy Barrier
Jump-To	とびつく	actions	object	Rock
Enter-cloud	くもにはいる	actions	object	Cloud bank
Listen	きく	actions	object	Crevice
Manoeuvre-past	よけてとおる	actions	object	Tight-gap
Climb-under	したからのぼる	actions	object	Castle wall
Climb-into	なかへのぼる	actions	object	Hole
Jump-onto	のる	actions	object	Stepping stone
Press	おす	actions	object	Zero
Step-on	ふむ	actions	object	Platform
Worship	あがめる	actions	object	Ectofuntus
Status	すてーたすをみる	actions	object	Bone grinder
Talk-To	はなしかける	actions	object	Pirate Captain
Admire	みほめる	actions	object	Tall mirror
Roll	ころがす	actions	object	Dice
Grapple	よじのぼる	actions	object	Rocks
Take-bowl	ボウルをとる	actions	object	Table
Sing-crystal	うたう	actions	object	Singing bowl
test	てすと	actions	object	Argento
Crawl-under	はいくぐる	actions	object	Wall
Fix	ふいごをなおす	actions	object	Bellows
Bend	まげる	actions	object	Cell wall window
Steal	ぬすむ	actions	object	Candles
Deactivate	おわる	actions	object	Magic box
Trap	わなをしかける	actions	object	Pit
Flush	さけびこえる	actions	object	Rabbit hole
Shout-over	さけぶ	actions	object	Rockslide
Pull-down	ひきおろす	actions	object	Eagle lever
Push-up	おしあげる	actions	object	Eagle lever
Quick-start	すぐにはじめる	actions	object	Ladder
Reset-wave	なみをもとにもどす	actions	object	Door
Dunk	ひたす	actions	object	Lava crater
Block	ふせぐ	actions	object	Penance cave
Demolish	こわす	actions	object	Penance cave
Take-Arrows	やをとる	actions	object	Attacker item machine
Take-Runes	ルーンをとる	actions	object	Attacker item machine
Stock-Up	ためこむ	actions	object	Defender item machine
Take-Crackers	クラッカーをとる	actions	object	Defender item machine
Take-Tofu	とうふをとる	actions	object	Defender item machine
Take-Worms	みみずをとる	actions	object	Defender item machine
Take-Vial	びんをとる	actions	object	Healer item machine
Take-Meat	にくをとる	actions	object	Healer item machine
Call	よぶ	actions	object	Horn of glory
Get-Spikes	とげをうける	actions	object	Petrified mushroom
Load	つみこむ	actions	object	Egg hopper
Evade	さけける	actions	object	Trap
Disable	オフにする	actions	object	Trap
Harpoon	もりをぶっこむ	actions	object	Fishing spot
Cage	おりをしかける	actions	object	Fishing spot
Leave Tomb	おはかをでる	actions	object	Tomb Door
Quick-leave	すぐにでる	actions	object	Tomb Door
Tread-softly	そっとあるく	actions	object	Icicles
Convert	かえる	actions	object	Collector Converter
Check for Snakes	へびをさがす	actions	object	Urn
Charm Snake	へびをなだめる	actions	object	Urn
Cut-wood	きをきる	actions	object	Woodcutting stump
Cross-bridge	はしをわたる	actions	object	Rope bridge
Exit-cave	ほらあなをでる	actions	object	Exit cavern
Decapitate	あたまをきる	actions	object	Ice Troll King
Jump-from	とびおりる	actions	object	Stepping stone
Peer-through	そっとのぞく	actions	object	Peephole
Add-bottom	そこをくわえる	actions	object	Crate
Return-to-Paterdomus	パターどーむすへもどる	actions	object	Path
Excavate	ほってだす	actions	object	Statue
Quick Pass	すぐとおる	actions	object	Flames
Tamper	あしくかんしょうする	actions	object	Device
Untie	ほどく	actions	object	Zanik
Walk-along	あるいていく	actions	object	Tunnel
Swing across	ふりこのようにわたる	actions	object	Monkeybars
Animate	いのちをえる	actions	object	Magical Animator
Check Kudos	しょうゆをかくにんする	actions	object	Information booth
Add finds	みつけたものをくわえる	actions	object	Storage crate
Clean	きれいにする	actions	object	Specimen table
Talk-into	はなしかける	actions	object	Drain Pipe
Wind-up	まきあげる	actions	object	Gramophone
Turn-Off	けす	actions	object	Gramophone
Climb up	のぼる	actions	object	Beard
Exit-through	ぬける	actions	object	Fire rift
Push-through	おしとおす	actions	object	Magical wheat
Dive in	ダイビングする	actions	object	Whirlpool
Construct	たてる	actions	object	Pyre site
Rummage	さぐる	actions	object	Skeleton
Burn-down	やきはらう	actions	object	Boil
Take From	とる	actions	object	Barrel of flour
Reach	てをのばす	actions	object	Vent
Free	ふりにする	actions	object	King Arthur
Break	わる	actions	object	Smashed window
Distract	きをそらす	actions	object	Eyes
Drink	のむ	actions	object	Potion
Store	しまう	actions	object	Super ranging potion
Equip	そうびする	actions	object	Anti-dragon shield
Teleport	テレポートする	actions	object	Zamorak altar
Tie-rope	なわをむすぶ	actions	object	Rock
Move	うごかす	actions	object	Boulder
Claim-staves	ぼうじゃくをうけとる	actions	object	Barrel
Climb-off	おりる	actions	object	Ice bridge
Crawl	はいはいする	actions	object	Cave
Join	さんかする	actions	object	Challenge portal
Hammer	かなづちでうつ	actions	object	Broken strut
Toggle K/D	キル・デス（K/D）をきりかえる	actions	object	Wilderness Statistics
Make-raft	いかだをつくる	actions	object	Old log
Weiss	ワイス	actions	object	Portal Nexus
Teleport Menu	テレポートメニュー	actions	object	Portal Nexus
Configuration	せっていする	actions	object	Portal Nexus
Toggle XP	XPをきりかえる	actions	object	Deadman chest
Take-X	Xをとる	actions	object	Meat table
Serve	だす	actions	object	Buffet table
Water	みずをやる	actions	object	Golovanova seedling
Bind	むすぶ	actions	object	Blood Altar
Venerate	あがめる	actions	object	Dark Altar
Take-remains	のこりをとる	actions	object	Kruk
Scale	のぼる	actions	object	Rocks
Walk on	あるく	actions	object	Vine
Look-in-all	なかをのぞく	actions	object	Hole
Disarm	かいじょする	actions	object	Floor spikes
Pass through	とおる	actions	object	Sliced web
Gaze-into	じっとみる	actions	object	Burning brazier
Reset-time	じかんをもとにもどす	actions	object	Burning brazier
Balance-across	バランスをとりながらわたる	actions	object	Steep roof
Leave Cavern	ほらあなをでる	actions	object	Inanimate Altar
Story	ものがたりをきく	actions	object	Juna
Climb over	のぼってこえる	actions	object	Broken cart
Claim	うけとる	actions	object	Reward chest
Add-House	いえをたす	actions	object	House Advertisement
Visit-Last	さいごのいえをおとずれる	actions	object	House Advertisement
Cross-to	わたる	actions	object	Rock
Setup	ていぎする	actions	object	Tip jar
Jars	つぼ	actions	object	Boss lair display
Perks	とくてん	actions	object	Mounted Max Cape
Spellbook	じゅつぶっく	actions	object	Mounted Magic Cape
Clip	かりこむ	actions	object	Topiary bush
Feed	たべさせる	actions	object	Burning brazier
Take-hammer	かなづちをとる	actions	object	Crate
Take-knife	ナイフをとる	actions	object	Crate
Take-tinderbox	むしうけをとる	actions	object	Crate
Take-concoction	やくをとる	actions	object	Crate
Take-5-concoction	やく（５）をとる	actions	object	Crate
Take-10-concoction	やく（１０）をとる	actions	object	Crate
Last-destination (ALP)	さいごのもくてきち（ALP）へいく	actions	object	Fairy ring
Last-destination (ALS)	さいごのもくてきち（ALS）へいく	actions	object	Fairy ring
Last-destination (ALR)	さいごのもくてきち（ALR）へいく	actions	object	Fairy ring
Last-destination (ALQ)	さいごのもくてきち（ALQ）へいく	actions	object	Fairy ring
Last-destination (AKP)	さいごのもくてきち（AKP）へいく	actions	object	Fairy ring
Last-destination (AKS)	さいごのもくてきち（AKS）へいく	actions	object	Fairy ring
Last-destination (AKR)	さいごのもくてきち（AKR）へいく	actions	object	Fairy ring
Last-destination (AKQ)	さいごのもくてきち（AKQ）へいく	actions	object	Fairy ring
Last-destination (AJP)	さいごのもくてきち（AJP）へいく	actions	object	Fairy ring
Last-destination (AJS)	さいごのもくてきち（AJS）へいく	actions	object	Fairy ring
Last-destination (AJR)	さいごのもくてきち（AJR）へいく	actions	object	Fairy ring
Last-destination (AJQ)	さいごのもくてきち（AJQ）へいく	actions	object	Fairy ring
Last-destination (DIP)	さいごのもくてきち（DIP）へいく	actions	object	Fairy ring
Last-destination (DIS)	さいごのもくてきち（DIS）へいく	actions	object	Fairy ring
Last-destination (DIR)	さいごのもくてきち（DIR）へいく	actions	object	Fairy ring
Last-destination (DIQ)	さいごのもくてきち（DIQ）へいく	actions	object	Fairy ring
Last-destination (DLP)	さいごのもくてきち（DLP）へいく	actions	object	Fairy ring
Last-destination (DLS)	さいごのもくてきち（DLS）へいく	actions	object	Fairy ring
Last-destination (DLR)	さいごのもくてきち（DLR）へいく	actions	object	Fairy ring
Last-destination (DLQ)	さいごのもくてきち（DLQ）へいく	actions	object	Fairy ring
Last-destination (DKP)	さいごのもくてきち（DKP）へいく	actions	object	Fairy ring
Last-destination (DKS)	さいごのもくてきち（DKS）へいく	actions	object	Fairy ring
Last-destination (DKR)	さいごのもくてきち（DKR）へいく	actions	object	Fairy ring
Last-destination (DKQ)	さいごのもくてきち（DKQ）へいく	actions	object	Fairy ring
Last-destination (DJP)	さいごのもくてきち（DJP）へいく	actions	object	Fairy ring
Last-destination (DJS)	さいごのもくてきち（DJS）へいく	actions	object	Fairy ring
Last-destination (DJR)	さいごのもくてきち（DJR）へいく	actions	object	Fairy ring
Last-destination (DJQ)	さいごのもくてきち（DJQ）へいく	actions	object	Fairy ring
Last-destination (CIP)	さいごのもくてきち（CIP）へいく	actions	object	Fairy ring
Last-destination (CIS)	さいごのもくてきち（CIS）へいく	actions	object	Fairy ring
Last-destination (CIR)	さいごのもくてきち（CIR）へいく	actions	object	Fairy ring
Last-destination (CIQ)	さいごのもくてきち（CIQ）へいく	actions	object	Fairy ring
Last-destination (CLP)	さいごのもくてきち（CLP）へいく	actions	object	Fairy ring
Last-destination (CLS)	さいごのもくてきち（CLS）へいく	actions	object	Fairy ring
Last-destination (CLR)	さいごのもくてきち（CLR）へいく	actions	object	Fairy ring
Last-destination (CLQ)	さいごのもくてきち（CLQ）へいく	actions	object	Fairy ring
Last-destination (CKP)	さいごのもくてきち（CKP）へいく	actions	object	Fairy ring
Last-destination (CKS)	さいごのもくてきち（CKS）へいく	actions	object	Fairy ring
Last-destination (CKR)	さいごのもくてきち（CKR）へいく	actions	object	Fairy ring
Last-destination (CKQ)	さいごのもくてきち（CKQ）へいく	actions	object	Fairy ring
Last-destination (CJP)	さいごのもくてきち（CJP）へいく	actions	object	Fairy ring
Last-destination (CJS)	さいごのもくてきち（CJS）へいく	actions	object	Fairy ring
Last-destination (CJR)	さいごのもくてきち（CJR）へいく	actions	object	Fairy ring
Last-destination (CJQ)	さいごのもくてきち（CJQ）へいく	actions	object	Fairy ring
Last-destination (BIP)	さいごのもくてきち（BIP）へいく	actions	object	Fairy ring
Last-destination (BIS)	さいごのもくてきち（BIS）へいく	actions	object	Fairy ring
Last-destination (BIR)	さいごのもくてきち（BIR）へいく	actions	object	Fairy ring
Last-destination (BIQ)	さいごのもくてきち（BIQ）へいく	actions	object	Fairy ring
Last-destination (BLP)	さいごのもくてきち（BLP）へいく	actions	object	Fairy ring
Last-destination (BLS)	さいごのもくてきち（BLS）へいく	actions	object	Fairy ring
Last-destination (BLR)	さいごのもくてきち（BLR）へいく	actions	object	Fairy ring
Last-destination (BLQ)	さいごのもくてきち（BLQ）へいく	actions	object	Fairy ring
Last-destination (BKP)	さいごのもくてきち（BKP）へいく	actions	object	Fairy ring
Last-destination (BKS)	さいごのもくてきち（BKS）へいく	actions	object	Fairy ring
Last-destination (BKR)	さいごのもくてきち（BKR）へいく	actions	object	Fairy ring
Last-destination (BKQ)	さいごのもくてきち（BKQ）へいく	actions	object	Fairy ring
Last-destination (BJP)	さいごのもくてきち（BJP）へいく	actions	object	Fairy ring
Last-destination (BJS)	さいごのもくてきち（BJS）へいく	actions	object	Fairy ring
Last-destination (BJR)	さいごのもくてきち（BJR）へいく	actions	object	Fairy ring
Last-destination (BJQ)	さいごのもくてきち（BJQ）へいく	actions	object	Fairy ring
Tree	きへいく	actions	object	Spiritual Fairy Tree
Ring-Zanaris	ザナリスのゆびわへいく	actions	object	Spiritual Fairy Tree
Ring-configure	ゆびわをせっていする	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIP)	ゆびわのさいごのもくてきち（AIP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIS)	ゆびわのさいごのもくてきち（AIS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIR)	ゆびわのさいごのもくてきち（AIR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AIQ)	ゆびわのさいごのもくてきち（AIQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALP)	ゆびわのさいごのもくてきち（ALP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALS)	ゆびわのさいごのもくてきち（ALS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALR)	ゆびわのさいごのもくてきち（ALR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (ALQ)	ゆびわのさいごのもくてきち（ALQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKP)	ゆびわのさいごのもくてきち（AKP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKS)	ゆびわのさいごのもくてきち（AKS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKR)	ゆびわのさいごのもくてきち（AKR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AKQ)	ゆびわのさいごのもくてきち（AKQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJP)	ゆびわのさいごのもくてきち（AJP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJS)	ゆびわのさいごのもくてきち（AJS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJR)	ゆびわのさいごのもくてきち（AJR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (AJQ)	ゆびわのさいごのもくてきち（AJQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIP)	ゆびわのさいごのもくてきち（DIP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIS)	ゆびわのさいごのもくてきち（DIS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIR)	ゆびわのさいごのもくてきち（DIR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DIQ)	ゆびわのさいごのもくてきち（DIQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLP)	ゆびわのさいごのもくてきち（DLP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLS)	ゆびわのさいごのもくてきち（DLS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLR)	ゆびわのさいごのもくてきち（DLR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DLQ)	ゆびわのさいごのもくてきち（DLQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKP)	ゆびわのさいごのもくてきち（DKP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKS)	ゆびわのさいごのもくてきち（DKS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKR)	ゆびわのさいごのもくてきち（DKR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DKQ)	ゆびわのさいごのもくてきち（DKQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJP)	ゆびわのさいごのもくてきち（DJP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJS)	ゆびわのさいごのもくてきち（DJS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJR)	ゆびわのさいごのもくてきち（DJR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (DJQ)	ゆびわのさいごのもくてきち（DJQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIP)	ゆびわのさいごのもくてきち（CIP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIS)	ゆびわのさいごのもくてきち（CIS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIR)	ゆびわのさいごのもくてきち（CIR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CIQ)	ゆびわのさいごのもくてきち（CIQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLP)	ゆびわのさいごのもくてきち（CLP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLS)	ゆびわのさいごのもくてきち（CLS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLR)	ゆびわのさいごのもくてきち（CLR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CLQ)	ゆびわのさいごのもくてきち（CLQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKP)	ゆびわのさいごのもくてきち（CKP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKS)	ゆびわのさいごのもくてきち（CKS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKR)	ゆびわのさいごのもくてきち（CKR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CKQ)	ゆびわのさいごのもくてきち（CKQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJP)	ゆびわのさいごのもくてきち（CJP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJS)	ゆびわのさいごのもくてきち（CJS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJR)	ゆびわのさいごのもくてきち（CJR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (CJQ)	ゆびわのさいごのもくてきち（CJQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIP)	ゆびわのさいごのもくてきち（BIP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIS)	ゆびわのさいごのもくてきち（BIS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIR)	ゆびわのさいごのもくてきち（BIR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BIQ)	ゆびわのさいごのもくてきち（BIQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLP)	ゆびわのさいごのもくてきち（BLP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLS)	ゆびわのさいごのもくてきち（BLS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLR)	ゆびわのさいごのもくてきち（BLR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BLQ)	ゆびわのさいごのもくてきち（BLQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKP)	ゆびわのさいごのもくてきち（BKP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKS)	ゆびわのさいごのもくてきち（BKS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKR)	ゆびわのさいごのもくてきち（BKR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BKQ)	ゆびわのさいごのもくてきち（BKQ）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJP)	ゆびわのさいごのもくてきち（BJP）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJS)	ゆびわのさいごのもくてきち（BJS）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJR)	ゆびわのさいごのもくてきち（BJR）へいく	actions	object	Spiritual Fairy Tree
Ring-last-destination (BJQ)	ゆびわのさいごのもくてきち（BJQ）へいく	actions	object	Spiritual Fairy Tree
Craft-rune	ルーンをつくる	actions	object	Altar
Fuel	ねんりょうをくわえる	actions	object	Brazier
Dispel	ぎまんをといて	actions	object	Shimmering barrier
Shared	きょうゆうされた	actions	object	Small storage unit
Take Rake	こういちをとる	actions	object	Old tools
Take Spade	しゃべるをとる	actions	object	Old tools
Take Seed Dibber	たねをくわえたしゃべるをとる	actions	object	Old tools
Pick-lots	いっぱいつむ	actions	object	Gourd tree
Quick-pass	すぐとおる	actions	object	Mystical barrier
Coffer	はこにしまう	actions	object	Furnace
Quick-exit	すぐにでる	actions	object	Cave exit
Travel to platform	プラットフォームへいく	actions	object	Row boat
Leave platform	プラットフォームをでる	actions	object	Row boat
Check count	かずをかくにんする	actions	object	Rock
Toggle warning	けいこくをきりかえる	actions	object	Rock
Seeds	たねをだす	actions	object	Birdhouse (empty)
Interact	そうさする	actions	object	Birdhouse
Inject	ちゅうにゅうする	actions	object	Sulliuscep
Jump on	のる	actions	object	Rubber cap mushroom
Navigate	しんろをつく	actions	object	Obstacle
Climb Down	おりる	actions	object	Trap Door
Climb Up	のぼる	actions	object	Rope anchor
Dive	ダイビングする	actions	object	Rowboat
Build on	たてる	actions	object	Ring of Stones
Take tools	どうぐをとる	actions	object	Crate
Set up	セットアップする	actions	object	Drift net anchors
Take down	もんたいをはずす	actions	object	Drift net anchors
Pick up	ひろう	actions	object	Pile of Fishbowls
Pay	しはらう	actions	object	Volcano Entrance
Feel	てでふれる	actions	object	Gas hole
Add to	くわえる	actions	object	Large Fossil Support
Climb through	ぬける	actions	object	Hole
Teleport to destination	もくてきちへテレポートする	actions	object	Obelisk
Set destination	もくてきちをせっていする	actions	object	Obelisk
Jump to	とびつく	actions	object	Pillar
Preferences	こうしんする	actions	object	Log storage
Absorb	すいこむ	actions	object	Energy Sphere
Reminisce	おもいだす	actions	object	Pool of Dreams
Nets	あみをしかける	actions	object	Annette
Ancient	こだい	actions	object	Altar of the Occult
Lunar	つきのじゅつをつかう	actions	object	Altar of the Occult
Arceuus	アーキーウス	actions	object	Altar of the Occult
Standard	ひょうじゅん	actions	object	Altar of the Occult
Recharge-jewellery	ほうせきをじゅうでんする	actions	object	Totem Pole
Douse	ぶっかける	actions	object	Fire
Heal	いやす	actions	object	Fremennik warrior
